[2025-07-06 01:33:33,522: INFO: main: >>>>>>>>>> Stage Data Ingestion Stage Completed <<<<<<<<<<]
[2025-07-06 01:33:33,522: INFO: main: ***************************]
[2025-07-06 01:33:33,522: INFO: main: >>>>>>>>>> stage Prepare Base Model Started <<<<<<<<<<]
[2025-07-06 01:33:33,523: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:33:33,524: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:33:33,525: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:33:33,525: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 01:33:33,880: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 01:33:34,311: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 01:33:34,770: ERROR: main: PrepareBaseModel._prepare_full_model() got an unexpected keyword argument 'freeze_all']
Traceback (most recent call last):
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\main.py", line 28, in <module>
    obj.main()
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\src\CNNClassifierKidneyDiseases\pipeline\stage_02_prepare_base_model.py", line 18, in main
    prepare_base_model.update_base_model()
  File "D:\ITI\DS Track\Deep Learning\Projects\Kidney Classification\Kidney-Disease-Classification\src\CNNClassifierKidneyDiseases\components\prepare_base_model.py", line 77, in update_base_model
    self.full_model, self.criterion, self.optimizer = self._prepare_full_model(
                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: PrepareBaseModel._prepare_full_model() got an unexpected keyword argument 'freeze_all'
[2025-07-06 01:35:50,120: INFO: main: Welcome to the Custom logger]
[2025-07-06 01:35:50,120: INFO: main: >>>>>>>>>> Satge Data Ingestion Stage Started <<<<<<<<<<]
[2025-07-06 01:35:50,121: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:35:50,122: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:35:50,123: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:35:50,123: INFO: common: Created Directory at : artifacts/data_ingestion]
[2025-07-06 01:35:50,123: INFO: data_ingestion: Downloading Data from https://drive.google.com/file/d/1JVnAlKEgAsle2tRMmJ0IfGnm7a-cy7YE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-06 01:36:18,734: INFO: main: Welcome to the Custom logger]
[2025-07-06 01:36:18,734: INFO: main: >>>>>>>>>> Satge Data Ingestion Stage Started <<<<<<<<<<]
[2025-07-06 01:36:18,735: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:36:18,736: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:36:18,737: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:36:18,737: INFO: common: Created Directory at : artifacts/data_ingestion]
[2025-07-06 01:36:18,738: INFO: data_ingestion: Downloading Data from https://drive.google.com/file/d/1JVnAlKEgAsle2tRMmJ0IfGnm7a-cy7YE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-06 01:36:42,018: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1JVnAlKEgAsle2tRMmJ0IfGnm7a-cy7YE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-06 01:36:42,498: INFO: main: >>>>>>>>>> Stage Data Ingestion Stage Completed <<<<<<<<<<]
[2025-07-06 01:36:42,498: INFO: main: ***************************]
[2025-07-06 01:36:42,499: INFO: main: >>>>>>>>>> stage Prepare Base Model Started <<<<<<<<<<]
[2025-07-06 01:36:42,500: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 01:36:42,501: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 01:36:42,501: INFO: common: Created Directory at : artifacts]
[2025-07-06 01:36:42,501: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 01:36:42,853: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 01:36:43,180: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 01:36:44,370: INFO: main: >>>>>>>>>> Stage Prepare Base Model Completed Successfully <<<<<<<<<<]
[2025-07-06 13:08:34,403: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 13:08:34,418: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 13:09:08,468: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 13:09:08,471: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 13:09:08,474: INFO: common: Created Directory at : artifacts]
[2025-07-06 13:09:26,702: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 13:09:26,705: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 13:09:26,708: INFO: common: Created Directory at : artifacts]
